ch	pt	fine_thr	a_fit	b_fit
 9	 5	 6	211.842	0.546
 9	 5	 7	210.639	0.956
 9	 6	 0	217.997	0.452
 9	 6	 1	216.968	0.410
 9	 6	 2	215.990	0.477
 9	 6	 3	214.828	0.656
 9	 6	 4	213.907	0.611
 9	 6	 5	212.763	0.482
 9	 6	 6	211.753	0.560
 9	 6	 7	210.650	0.950
 9	 7	 0	217.974	0.449
 9	 7	 1	216.925	0.482
 9	 7	 2	216.004	0.487
 9	 7	 3	214.814	0.675
 9	 7	 4	213.872	0.611
 9	 7	 5	212.759	0.503
 9	 7	 6	211.739	0.645
 9	 7	 7	210.715	0.887
10	 0	 0	213.160	0.437
10	 0	 1	212.047	0.561
10	 0	 2	211.016	0.551
10	 0	 3	209.793	0.583
10	 0	 4	208.804	0.600
10	 0	 5	207.765	0.505
10	 0	 6	206.689	0.503
10	 0	 7	205.602	0.594
10	 1	 0	213.198	0.355
10	 1	 1	211.968	0.500
10	 1	 2	211.008	0.510
10	 1	 3	209.838	0.542
10	 1	 4	208.842	0.627
10	 1	 5	207.733	0.438
10	 1	 6	206.700	0.490
10	 1	 7	205.578	0.670
10	 2	 0	213.145	0.340
10	 2	 1	212.057	0.475
10	 2	 2	211.001	0.461
10	 2	 3	209.832	0.621
10	 2	 4	208.869	0.631
10	 2	 5	207.722	0.405
10	 2	 6	206.688	0.451
10	 2	 7	205.579	0.837
10	 3	 0	213.160	0.334
10	 3	 1	212.058	0.464
10	 3	 2	211.035	0.454
10	 3	 3	209.813	0.624
10	 3	 4	208.849	0.576
10	 3	 5	207.766	0.447
10	 3	 6	206.744	0.471
10	 3	 7	205.554	0.902
10	 4	 0	213.165	0.347
10	 4	 1	212.058	0.404
10	 4	 2	211.004	0.449
10	 4	 3	209.797	0.597
10	 4	 4	208.919	0.622
10	 4	 5	207.770	0.416
10	 4	 6	206.759	0.487
10	 4	 7	205.579	0.778
10	 5	 0	213.209	0.382
10	 5	 1	212.063	0.434
10	 5	 2	210.966	0.445
10	 5	 3	209.811	0.603
10	 5	 4	208.817	0.600
10	 5	 5	207.764	0.456
10	 5	 6	206.777	0.556
10	 5	 7	205.621	0.868
10	 6	 0	213.171	0.438
10	 6	 1	212.034	0.490
10	 6	 2	211.012	0.457
10	 6	 3	209.776	0.625
10	 6	 4	209.008	0.578
10	 6	 5	207.728	0.469
10	 6	 6	206.729	0.528
10	 6	 7	205.561	0.855
10	 7	 0	213.222	0.453
10	 7	 1	212.011	0.483
10	 7	 2	211.051	0.450
10	 7	 3	209.916	0.611
10	 7	 4	208.915	0.555
10	 7	 5	207.861	0.448
10	 7	 6	206.774	0.588
10	 7	 7	205.576	0.877
11	 0	 0	227.968	0.356
11	 0	 1	226.918	0.469
11	 0	 2	225.938	0.475
11	 0	 3	224.839	0.527
11	 0	 4	223.858	0.542
11	 0	 5	222.753	0.410
11	 0	 6	221.784	0.439
11	 0	 7	220.717	0.443
11	 1	 0	227.962	0.311
11	 1	 1	226.868	0.376
11	 1	 2	225.896	0.416
11	 1	 3	224.827	0.457
11	 1	 4	223.820	0.501
11	 1	 5	222.739	0.360
11	 1	 6	221.802	0.417
11	 1	 7	220.682	0.557
11	 2	 0	227.892	0.294
11	 2	 1	226.850	0.354
11	 2	 2	225.869	0.376
11	 2	 3	224.742	0.418
11	 2	 4	223.798	0.484
11	 2	 5	222.691	0.379
11	 2	 6	221.759	0.401
11	 2	 7	220.706	0.582
11	 3	 0	227.902	0.296
11	 3	 1	226.857	0.350
11	 3	 2	225.838	0.381
11	 3	 3	224.724	0.496
11	 3	 4	223.796	0.452
11	 3	 5	222.682	0.357
11	 3	 6	221.757	0.418
11	 3	 7	220.718	0.582
11	 4	 0	227.868	0.327
11	 4	 1	226.851	0.322
11	 4	 2	225.868	0.346
11	 4	 3	224.764	0.497
11	 4	 4	223.727	0.430
11	 4	 5	222.639	0.388
11	 4	 6	221.708	0.443
11	 4	 7	220.728	0.606
11	 5	 0	227.879	0.324
11	 5	 1	226.809	0.359
11	 5	 2	225.817	0.376
11	 5	 3	224.751	0.470
11	 5	 4	223.779	0.492
11	 5	 5	222.674	0.390
11	 5	 6	221.720	0.435
11	 5	 7	220.718	0.655
11	 6	 0	227.813	0.375
11	 6	 1	226.780	0.398
11	 6	 2	225.815	0.384
11	 6	 3	224.740	0.506
11	 6	 4	223.730	0.495
11	 6	 5	222.686	0.405
11	 6	 6	221.685	0.500
11	 6	 7	220.664	0.612
11	 7	 0	227.820	0.396
11	 7	 1	226.765	0.397
11	 7	 2	225.776	0.412
11	 7	 3	224.692	0.487
11	 7	 4	223.755	0.504
11	 7	 5	222.686	0.367
11	 7	 6	221.684	0.483
11	 7	 7	220.638	0.666
12	 0	 0	220.485	0.395
12	 0	 1	219.430	0.425
12	 0	 2	218.462	0.392
12	 0	 3	217.388	0.468
12	 0	 4	216.435	0.479
12	 0	 5	215.387	0.460
12	 0	 6	214.356	0.458
12	 0	 7	213.227	0.536
12	 1	 0	220.460	0.357
12	 1	 1	219.407	0.383
12	 1	 2	218.443	0.383
